               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073161,             0.05189,            0.059378,             0.46712,             0.20767,             0.09917,            0.050558,            0.050974,            0.022177,            0.054164,            0.070024,           0.0033307,           0.0033307
                   1,            0.048301,            0.045526,            0.047184,             0.40063,             0.27702,             0.12634,            0.060237,             0.04307,            0.020555,            0.048972,            0.037824,           0.0044649,           0.0044649
                   2,             0.04083,            0.041979,            0.044369,             0.42105,              0.2807,             0.15481,            0.084919,             0.03739,            0.019619,            0.047076,           0.0034253,           0.0033991,           0.0033991
